nom_structure,nom_contact,email,telephone,type_prospect,pays,region,departement,ville,adresse,nb_aderents,facebook,facebook_followers,x,x_followers,instagram,instagram_followers,youtube,youtube_followers,tictok,tictok_followers,sit_web,accepte_contact,methode_contact,contacte,date_dernier_contact,commentaires
Bar à jeux Supérieur,Olivier Gosselin,danielle33@example.org,,Bar à jeux,France,Île-de-France,75,Paris,"420, rue Perrin",,https://www.neveu.net/,3466.0,,,,,,,http://www.paul.net/,27276.0,http://www.lenoir.com/,True,instagram,False,2024-08-27,
Influenceur Croiser,Arthur Hoareau,devauxwilliam@example.net,0701542231,Influenceur,France,Pays de la Loire,72,Le Mans,rue Geneviève Guibert,,https://www.rossi.fr/,7383.0,,,http://barre.net/,12774.0,,,http://www.ferreira.com/,30853.0,https://texier.com/,True,,False,2025-04-13,
Boutique spécialisée Rapporter,,noellefort@example.net,0735657649,Boutique spécialisée,France,Auvergne-Rhône-Alpes,73,Aix-les-Bains,"29, chemin Delmas",450.0,https://weber.com/,113.0,,,http://rousset.com/,16059.0,,,,,http://reynaud.com/,False,telephone,True,,
Ludothèque Enfant,Étienne-Alain Mace,valerie82@example.net,0605255537,Ludothèque,France,Auvergne-Rhône-Alpes,07,Aubenas,"52, boulevard de Costa",91.0,https://www.etienne.org/,846.0,http://legendre.fr/,3090.0,https://www.noel.net/,28502.0,,,http://www.leroux.fr/,39011.0,https://www.evrard.net/,True,,False,2025-05-30,
CSCS Environ,,anouknicolas@example.org,0624424112,CSCS,France,Bretagne,22,Lannion,"73, boulevard Josette Leduc",,,,https://neveu.org/,12938.0,https://www.roche.fr/,2877.0,http://cordier.fr/,45575.0,,,https://www.coulon.fr/,True,facebook,False,2025-05-12,Roi expression couche retomber révolution passer.
Ludothèque Naître,Vincent Delmas du Reynaud,alfredmendes@example.net,,Ludothèque,France,Occitanie,81,Gaillac,"3, rue de Gimenez",,http://leveque.fr/,841.0,http://charles.net/,1374.0,,,http://www.pires.com/,8920.0,,,https://bertrand.fr/,True,,True,,Pensée finir attacher près vieil.
Ludothèque École,,huguesbarthelemy@example.com,0758268199,Ludothèque,France,Hauts-de-France,02,Soissons,"997, boulevard Gomes",,https://www.maury.com/,4812.0,,,https://menard.com/,29887.0,,,,,http://www.roy.org/,True,instagram,True,,
Ludothèque Gagner,Anaïs Georges,zacharie93@example.net,0726767120,Ludothèque,France,Provence-Alpes-Côte d'Azur,04,Manosque,"6, chemin Victoire Cousin",,https://www.pierre.com/,4499.0,,,,,,,,,,False,,False,2025-10-25,
Artisan Rond,Pierre Hamon du Daniel,rouxgilles@example.com,,Artisan,France,Auvergne-Rhône-Alpes,07,Annonay,"37, boulevard de Colas",304.0,http://www.devaux.fr/,1227.0,http://martins.com/,11515.0,http://www.georges.fr/,23741.0,,,,,http://www.lefevre.fr/,True,instagram,False,,
MJC Objet,Robert Michaud-Maurice,rouxgilles@example.com,0735657649,MJC,France,Nouvelle-Aquitaine,86,Poitiers,rue Ruiz,,http://guilbert.com/,5896.0,,,http://www.didier.com/,22264.0,,,,,https://parent.fr/,False,,False,2025-07-29,
