nom_structure,nom_contact,email,telephone,type_prospect,pays,region,departement,ville,adresse,nb_aderents,facebook,facebook_followers,x,x_followers,instagram,instagram_followers,youtube,youtube_followers,tictok,tictok_followers,sit_web,statut,accepte_contact,methode_contact,contacte,date_dernier_contact,commentaires
Bar à jeux Violent,,remy72@example.org,0618214364,Bar à jeux,France,Centre-Val de Loire,36,Le Blanc,"48, boulevard Salmon",,http://fabre.fr/,2181.0,https://andre.com/,11708.0,https://www.maillard.fr/,18282.0,,,,,http://www.paul.com/,Intéressé,False,facebook,True,,
MJC Poursuivre,,eroy@example.org,0709714017,MJC,France,Hauts-de-France,02,Soissons,"94, rue de Legros",,http://www.blanchard.com/,1507.0,,,https://courtois.com/,16567.0,http://www.chauveau.fr/,6261.0,,,http://www.bouvier.com/,Intéressé,True,instagram,False,2024-08-07,
Artisan Long,,sanchezmaurice@example.net,0627188868,Artisan,France,Bretagne,22,Saint-Brieuc,"44, rue de Jacob",,,,,,https://barbier.fr/,22167.0,http://brunel.org/,25279.0,https://labbe.fr/,52144.0,https://duval.fr/,Prospect,False,facebook,True,2024-05-10,
Éditeur Phrase,Rémy Charpentier,tphilippe@example.com,0681416270,Éditeur,France,Occitanie,32,Condom,"38, avenue Jeanne Poirier",,,,https://pruvost.fr/,7447.0,,,,,https://dupuis.fr/,12851.0,http://allard.com/,Intéressé,True,instagram,True,2024-11-03,
Artisan Faim,,dominique59@example.com,0729027487,Artisan,France,Grand Est,52,Chaumont,"27, rue de Robert",,http://fournier.com/,4795.0,,,,,https://www.mathieu.com/,5764.0,,,https://www.riviere.org/,Prospect,False,,True,,
CSCS Approcher,Bernard-Henri Lombard,pierrebouvet@example.net,0788526093,CSCS,France,Île-de-France,95,Cergy,"501, rue Mallet",,https://www.berthelot.fr/,5996.0,,,,,,,,,http://ledoux.org/,Contacté,True,email,True,2025-10-10,Propre année difficile cela droit digne.
Asso JDR Vingt,Geneviève Monnier,hugues61@example.org,0627188868,Asso JDR,France,Pays de la Loire,53,Château-Gontier,rue de Bigot,,https://navarro.fr/,5643.0,,,https://dumont.fr/,19377.0,,,,,http://www.robin.fr/,Contacté,False,telephone,True,,
Asso JDR Forêt,,suzannehamel@example.org,0788526093,Asso JDR,France,Hauts-de-France,60,Senlis,"4, chemin de Thomas",,http://imbert.net/,7821.0,https://www.aubry.com/,4743.0,https://pasquier.fr/,6080.0,,,,,,Contacté,True,,True,2024-08-08,
Médiathèque Tâche,,brigitte21@example.net,0661867303,Médiathèque,France,Île-de-France,95,Sarcelles,rue Marc Hamel,,,,http://etienne.fr/,14482.0,,,,,https://www.bousquet.com/,37121.0,http://www.peltier.fr/,Intéressé,False,email,True,,Vin beauté quant à an blond attirer.
Médiathèque Hier,,aurorebousquet@example.com,,Médiathèque,France,Hauts-de-France,59,Lille,"45, rue Regnier",282.0,http://jean.fr/,4966.0,https://gilbert.net/,6771.0,http://leroux.com/,13198.0,http://www.meyer.com/,337.0,,,http://www.petit.fr/,Prospect,True,,True,2025-12-29,
Influenceur Valoir,,hde-sousa@example.org,0616500212,Influenceur,France,Bourgogne-Franche-Comté,25,Montbéliard,rue de Vincent,,http://www.loiseau.com/,3322.0,,,http://www.lacombe.com/,8913.0,https://www.hamel.fr/,10138.0,,,,Intéressé,False,,True,,
